키,몸무게,체지방율,성별
1736.0,72.1,18.9,남
1833.0,106.2,27.0,남
1744.0,69.1,8.1,남
1751.0,68.4,10.3,남
1851.0,81.9,14.1,남
1781.0,93.5,22.6,남
1838.0,99.6,13.5,남
1915.0,86.7,10.8,남
1729.0,74.7,11.3,남
1639.0,72.5,15.3,남
1769.0,66.1,11.7,남
1751.0,79.4,16.7,남
1736.0,80.8,16.1,남
1850.0,80.3,17.0,남
1670.0,70.6,11.9,남
1729.0,69.8,17.0,남
1718.0,64.4,13.5,남
1835.0,86.1,12.1,남
1724.0,73.6,13.0,남
1645.0,58.6,9.9,남
1786.0,75.2,13.0,남
1764.0,85.5,23.5,남
1686.0,60.8,12.3,남
1765.0,69.8,14.4,남
1764.0,68.3,10.4,남
1751.0,80.7,18.5,남
1766.0,71.9,13.6,남
1730.0,81.0,18.5,남
1794.0,102.1,25.2,남
1724.0,68.2,13.0,남
1757.0,78.5,22.2,남
1755.0,63.4,15.5,남
1699.0,62.1,13.4,남
1678.0,68.7,18.6,남
1804.0,65.6,12.1,남
1722.0,69.2,15.0,남
1777.0,80.0,15.3,남
1750.0,77.0,9.3,남
1773.0,73.2,12.8,남
1818.0,74.8,6.8,남
1778.0,94.9,21.0,남
1786.0,72.8,14.3,남
1770.0,74.1,12.8,남
1765.0,78.3,11.7,남
1560.0,50.1,29.9,여
1544.0,46.1,25.9,여
1600.0,56.4,30.0,여
1656.0,57.8,26.4,여
1661.0,76.0,37.1,여
1669.0,54.9,23.3,여
1621.0,52.0,26.0,여
1657.0,51.7,20.5,여
1711.0,65.4,25.5,여
1637.0,45.3,17.4,여
1539.0,57.8,31.8,여
1551.0,55.3,35.1,여
1560.0,50.8,23.4,여
1570.0,46.7,21.3,여
1626.0,66.2,31.5,여
1494.0,55.0,36.4,여
1690.0,47.9,23.4,여
1720.0,62.5,27.8,남
1657.0,59.2,21.8,남
1736.0,68.6,17.8,남
1626.0,55.8,24.0,남
1740.0,76.7,21.4,남
1738.0,60.0,10.3,남
1707.0,58.2,17.6,남
1754.0,58.0,10.0,남
1852.0,63.2,9.6,남
1615.0,52.2,11.2,남
1735.0,75.0,18.0,남
1718.0,73.8,20.2,남
1679.0,83.3,34.3,남
1730.0,67.7,14.0,남
1721.0,60.1,9.0,남
1736.0,79.9,27.5,남
1714.0,65.9,16.4,남
1710.0,57.6,8.8,남
1754.0,77.5,24.7,남
1795.0,57.3,10.4,남
1690.0,53.4,12.2,남
1614.0,55.9,14.1,남
1755.0,74.3,23.5,남
1756.0,55.6,8.7,남
1749.0,63.4,13.0,남
1811.0,111.4,29.8,남
1756.0,71.3,16.6,남
1711.0,66.7,16.1,남
1724.0,72.4,17.1,남
1710.0,57.5,16.1,남
1700.0,61.7,20.6,남
1726.0,61.1,12.5,남
1651.0,47.6,11.0,남
1711.0,59.3,13.1,남
1725.0,78.3,22.1,남
1828.0,72.8,20.0,남
1726.0,54.0,14.9,남
1710.0,55.5,9.7,남
1644.0,57.8,17.6,남
1750.0,52.5,11.2,남
1746.0,57.1,10.1,남
1661.0,56.0,10.1,남
1730.0,79.6,19.9,남
1740.0,66.7,20.2,남
1629.0,56.1,28.2,여
1644.0,47.2,23.6,여
1542.0,50.7,31.9,여
1644.0,44.2,19.4,여
1575.0,51.0,26.0,여
1564.0,45.2,26.6,여
1634.0,60.9,30.5,여
1660.0,59.8,30.8,여
1574.0,49.7,26.8,여
1613.0,49.4,23.9,여
1604.0,45.4,24.2,여
1594.0,46.1,24.0,여
1610.0,56.2,35.9,여
1634.0,80.8,43.0,여
1512.0,50.1,32.3,여
1541.0,43.3,24.2,여
1594.0,52.4,28.4,여
1681.0,64.1,30.9,여
1644.0,64.0,36.2,여
1585.0,48.7,24.2,여
1643.0,55.4,29.5,여
1633.0,49.7,19.7,여
1556.0,65.3,41.4,여
1630.0,54.6,30.2,여
1651.0,64.1,36.9,여
1581.0,47.9,23.8,여
1646.0,57.3,31.1,여
1666.0,58.1,32.7,여
1621.0,53.8,31.6,여
1576.0,47.8,34.3,여
1660.0,62.2,27.5,여
1605.0,62.4,30.8,여
1520.0,54.0,26.1,여
1706.0,55.0,8.0,남
1770.0,61.0,12.5,남
1627.0,48.9,12.4,남
1770.0,86.6,28.3,남
1683.0,55.3,46.0,남
1630.0,68.0,23.5,남
1643.0,53.7,8.4,남
1805.0,76.6,17.8,남
1789.0,71.9,13.6,남
1790.0,62.3,10.5,남
1697.0,58.3,14.3,남
1627.0,51.0,16.4,남
1706.0,58.4,7.9,남
1808.0,75.3,13.6,남
1575.0,60.1,33.4,여
1555.0,53.5,36.7,여
1646.0,57.9,23.7,여
1542.0,51.8,28.7,여
1604.0,59.2,32.0,여
1599.0,55.1,30.0,여
1640.0,45.1,21.2,여
1570.0,44.2,20.9,여
1690.0,53.2,23.1,여
1634.0,55.0,30.7,여
1664.0,54.6,30.2,여
1605.0,63.3,35.4,여
1615.0,52.9,22.7,여
1609.0,51.5,29.8,여
1586.0,78.4,39.3,여
1575.0,51.0,32.5,여
1626.0,54.3,28.1,여
1598.0,49.2,25.9,여
1621.0,71.8,37.6,여
1621.0,53.5,18.2,여
1594.0,44.6,28.6,여
1680.0,56.3,30.4,여
1639.0,54.5,29.0,여
1597.0,52.3,26.2,여
1583.0,47.7,24.4,여
1628.0,56.8,24.4,여
1545.0,45.1,24.4,여
1518.0,49.4,23.7,여
1621.0,59.2,31.2,여
1687.0,59.6,25.8,여
1607.0,61.2,37.0,여
1569.0,41.4,27.3,여
1560.0,50.1,25.7,여
1584.0,49.5,35.4,여
1580.0,49.6,28.0,여
1527.0,49.2,31.2,여
1651.0,61.8,18.4,여
1605.0,49.2,23.6,여
1665.0,63.5,33.5,여
1558.0,49.7,26.3,여
1561.0,57.9,39.2,여
1583.0,56.6,30.2,여
1561.0,52.5,30.5,여
1600.0,61.4,29.4,여
1783.0,76.3,23.1,남
1801.0,80.4,21.1,남
1830.0,68.4,4.6,남
1745.0,61.4,15.0,남
1717.0,72.3,21.4,남
1760.0,62.6,11.9,남
1725.0,72.1,20.8,남
1702.0,59.8,13.4,남
1750.0,64.8,13.4,남
1678.0,66.0,19.2,남
1696.0,61.3,16.9,남
1788.0,60.2,11.1,남
1705.0,53.2,8.6,남
1744.0,59.3,13.2,남
1739.0,67.0,16.3,남
1610.0,46.8,12.7,남
1851.0,101.7,25.0,남
1690.0,52.1,12.2,남
1805.0,67.8,10.2,남
1725.0,65.3,4.7,남
1767.0,70.1,17.9,남
1685.0,53.0,10.5,남
1735.0,57.7,11.4,남
1745.0,50.7,9.5,남
1715.0,63.4,11.3,남
1694.0,59.9,19.5,남
1730.0,56.2,10.5,남
1865.0,67.3,3.0,남
1744.0,50.8,3.7,남
1744.0,68.8,18.9,남
1846.0,65.5,8.0,남
1607.0,42.6,9.7,남
1795.0,59.6,5.2,남
1735.0,61.2,9.1,남
1733.0,71.7,16.9,남
1525.0,53.4,34.5,여
1576.0,58.8,36.8,여
1471.0,54.8,37.0,여
1552.0,48.3,31.0,여
1592.0,57.5,30.8,여
1584.0,51.4,30.8,여
1526.0,55.1,24.8,여
1563.0,65.6,34.2,여
1546.0,49.4,26.1,여
1641.0,60.1,31.6,여
1498.0,58.9,37.7,여
1567.0,57.5,33.9,여
1474.0,51.8,35.0,여
1558.0,61.9,34.5,여
1599.0,61.7,32.9,여
1584.0,59.2,28.8,여
1523.0,48.2,24.0,여
1536.0,72.1,41.3,여
1514.0,59.0,39.6,여
1455.0,63.0,37.1,여
1606.0,60.0,24.7,여
1642.0,73.2,30.1,여
1565.0,73.8,37.5,여
1568.0,52.4,29.1,여
1436.0,51.2,32.7,여
1643.0,56.7,22.1,여
1579.0,64.9,35.0,여
1607.0,57.3,26.6,여
1637.0,78.5,37.5,여
1649.0,70.5,33.1,여
1538.0,58.3,31.4,여
1611.0,58.7,35.4,여
1535.0,49.2,23.4,여
1587.0,52.1,30.7,여
1572.0,57.3,28.9,여
1548.0,53.6,25.2,여
1610.0,53.7,24.9,여
1575.0,62.8,32.9,여
1580.0,55.7,28.1,여
1473.0,46.7,26.9,여
1558.0,52.5,29.5,여
1664.0,54.6,25.0,여
1580.0,52.2,27.8,여
1600.0,55.6,27.9,여
1594.0,60.5,30.0,여
1593.0,59.5,32.5,여
1570.0,48.4,23.9,여
1458.0,50.5,35.3,여
1612.0,68.9,34.5,여
1488.0,55.8,35.4,여
1507.0,47.4,26.3,여
1558.0,59.8,32.8,여
1534.0,47.6,26.2,여
1514.0,66.3,40.9,여
1624.0,68.8,30.8,여
1542.0,52.5,27.4,여
1485.0,52.7,32.4,여
1541.0,73.4,39.3,여
1604.0,61.0,32.7,여
1502.0,51.4,28.2,여
1567.0,55.9,34.3,여
1464.0,68.4,45.3,여
1593.0,70.1,36.5,여
1571.0,50.4,24.6,여
1578.0,55.5,37.6,여
1505.0,59.0,42.7,여
1628.0,51.3,19.8,여
1584.0,79.7,43.1,여
1469.0,53.5,31.1,여
1595.0,63.4,28.6,여
1600.0,53.8,31.7,여
1614.0,42.3,21.2,여
1544.0,62.2,36.1,여
1678.0,60.6,26.3,여
1654.0,75.0,35.9,여
1545.0,57.1,31.9,여
1533.0,65.4,39.1,여
1630.0,53.5,25.4,여
1572.0,61.1,30.6,여
1556.0,56.5,35.3,여
1675.0,59.5,25.4,여
1634.0,58.4,26.9,여
1580.0,62.2,32.9,여
1575.0,65.4,30.2,여
1544.0,56.3,36.8,여
1596.0,54.7,30.0,여
1514.0,57.0,32.1,여
1401.0,61.5,47.0,여
1600.0,58.9,36.1,여
1650.0,53.8,22.6,여
1690.0,68.1,33.7,여
1545.0,61.4,27.3,여
1660.0,64.1,32.9,여
1638.0,54.0,23.7,여
1566.0,50.2,25.1,여
1586.0,56.4,27.9,여
1487.0,55.3,32.8,여
1588.0,59.8,29.1,여
1668.0,64.1,30.9,여
1518.0,53.9,28.2,여
1529.0,62.9,36.6,여
1580.0,46.6,21.9,여
1600.0,57.4,25.1,여
1562.0,52.7,28.6,여
1518.0,55.8,44.8,여
1456.0,51.9,27.3,여
1539.0,53.5,28.9,여
1536.0,61.3,42.8,여
1470.0,58.7,40.3,여
1505.0,49.0,26.1,여
1479.0,50.6,31.0,여
1519.0,43.9,19.2,여
1482.0,55.7,39.5,여
1573.0,69.7,38.8,여
1571.0,66.3,35.9,여
1546.0,50.1,22.8,여
1678.0,67.1,27.5,여
1622.0,86.2,38.6,여
1601.0,59.8,28.9,여
1538.0,78.8,42.8,여
1582.0,60.7,32.9,여
1533.0,47.0,25.1,여
1478.0,45.6,18.3,여
1510.0,47.5,27.3,여
1518.0,61.2,37.9,여
1479.0,50.9,34.6,여
1543.0,63.3,35.1,여
1528.0,72.8,33.9,여
1650.0,60.2,28.8,여
1484.0,57.9,39.9,여
1468.0,46.0,32.0,여
1548.0,53.5,30.0,여
1521.0,50.9,29.8,여
1589.0,53.7,24.1,여
1509.0,52.0,27.3,여
1522.0,69.1,43.1,여
1556.0,50.8,26.6,여
1487.0,48.4,27.4,여
1655.0,59.6,29.9,여
1529.0,53.8,29.2,여
1500.0,58.5,34.5,여
1567.0,52.6,24.1,여
1662.0,62.2,25.5,여
1691.0,83.5,37.5,여
1560.0,56.7,33.0,여
1563.0,47.6,26.4,여
1594.0,60.4,27.5,여
1598.0,62.8,31.6,여
1655.0,53.4,24.7,여
1615.0,73.9,34.8,여
1502.0,62.1,36.1,여
1595.0,53.0,26.3,여
1557.0,55.7,30.5,여
1604.0,62.0,27.8,여
1534.0,55.4,33.6,여
1619.0,78.0,26.8,여
1574.0,57.0,30.0,여
1647.0,67.4,22.5,여
1612.0,52.6,29.2,여
1608.0,55.0,25.4,여
1519.0,58.1,36.0,여
1632.0,56.4,27.5,여
1622.0,54.6,28.7,여
1558.0,76.3,39.6,여
1647.0,52.4,20.5,여
1508.0,54.6,29.2,여
1518.0,46.3,3.0,여
1507.0,65.6,43.8,여
1505.0,73.8,41.3,여
1640.0,55.0,29.3,여
1594.0,54.5,30.4,여
1495.0,55.2,32.4,여
1630.0,53.5,29.0,여
1522.0,64.7,40.5,여
1523.0,49.3,30.3,여
1542.0,57.1,33.3,여
1708.0,65.2,27.6,여
1481.0,59.1,40.6,여
1510.0,60.5,35.2,여
1590.0,89.3,43.0,여
1490.0,62.7,35.3,여
1580.0,60.6,33.7,여
1665.0,65.4,22.8,여
1545.0,67.3,32.1,여
1700.0,69.9,32.8,여
1490.0,56.1,31.8,여
1527.0,58.4,34.9,여
1620.0,51.7,23.6,여
1477.0,44.3,26.5,여
1478.0,44.9,27.4,여
1553.0,62.0,34.8,여
1581.0,49.5,19.9,여
1525.0,64.8,32.0,여
1521.0,63.9,36.4,여
1544.0,65.1,35.4,여
1526.0,61.0,35.4,여
1564.0,55.8,32.5,여
1620.0,56.3,21.9,여
1437.0,47.7,26.6,여
1629.0,71.6,37.4,여
1481.0,59.8,40.9,여
1764.0,80.4,38.9,여
1508.0,46.0,25.1,여
1560.0,69.8,37.4,여
1580.0,88.8,48.9,여
1526.0,47.7,27.2,여
1460.0,59.4,36.2,여
1605.0,57.9,28.9,여
1534.0,58.1,31.8,여
1478.0,47.7,29.1,여
1550.0,61.9,36.5,여
1589.0,51.2,31.2,여
1510.0,57.8,35.8,여
1574.0,56.3,32.5,여
1606.0,57.8,29.8,여
1582.0,72.8,31.9,여
1644.0,78.3,23.1,남
1704.0,64.5,21.5,남
1601.0,69.5,28.5,남
1713.0,78.2,19.7,남
1721.0,82.3,24.1,남
1714.0,70.3,22.0,남
1731.0,74.7,24.4,남
1730.0,95.0,33.7,남
1799.0,99.8,28.6,남
1533.0,49.8,18.3,남
1709.0,72.4,20.1,남
1706.0,72.2,22.1,남
1580.0,46.0,12.2,남
1677.0,53.7,6.7,남
1751.0,63.7,13.3,남
1685.0,70.0,23.1,남
1722.0,62.9,19.6,남
1657.0,52.6,14.5,남
1688.0,64.1,18.9,남
1721.0,74.9,21.0,남
1619.0,67.4,21.3,남
1635.0,57.0,21.1,남
1715.0,49.6,16.3,남
1642.0,63.4,26.7,남
1623.0,67.3,26.3,남
1763.0,60.3,14.3,남
1707.0,73.4,13.1,남
1714.0,58.6,16.0,남
1667.0,67.5,25.3,남
1810.0,80.1,21.3,남
1670.0,66.3,14.9,남
1722.0,74.4,17.9,남
1620.0,61.1,18.4,남
