키,몸무게,목둘레,허리둘레,BMI,체지방율,기초대사량,기초대사량평가,머리수직길이,머리두께,머리너비,발너비,발직선길이,나이,성별
1736.0,72.1,385.0,819.0,23.92411178831574,18.9,1633.0,표준,224.0,188.0,159.0,88.0,228.0,25,남
1833.0,106.2,418.0,1036.0,31.608187056179535,27.0,2044.0,표준이하,247.0,201.0,161.0,98.0,269.0,28,남
1744.0,69.1,400.0,754.0,22.718784193249725,8.1,1742.0,표준,251.0,201.0,162.0,90.0,244.0,19,남
1751.0,68.4,355.0,720.0,22.309190375345604,10.3,1695.0,표준,234.0,199.0,154.0,88.0,231.0,20,남
1851.0,81.9,394.0,846.0,23.904026646422672,14.1,1890.0,표준,223.0,195.0,158.0,86.0,265.0,22,남
1781.0,93.5,397.0,946.0,29.47703329265397,22.6,1933.0,표준,233.0,197.0,166.0,93.0,250.0,23,남
1838.0,99.6,394.0,882.0,29.48277270676718,13.5,2232.0,표준,237.0,200.0,157.0,96.0,264.0,24,남
1915.0,86.7,392.0,807.0,23.641854535786596,10.8,2040.0,표준,251.0,204.0,162.0,95.0,252.0,24,남
1729.0,74.7,368.0,799.0,24.9879492520508,11.3,1802.0,표준,241.0,190.0,160.0,87.0,235.0,27,남
1639.0,72.5,365.0,826.0,26.98858401508978,15.3,1697.0,표준,234.0,185.0,153.0,93.0,236.0,26,남
1769.0,66.1,382.0,776.0,21.122523096568273,11.7,1631.0,표준,238.0,187.0,160.0,92.0,252.0,20,남
1751.0,79.4,395.0,770.0,25.89692566962633,16.7,1799.0,표준,241.0,188.0,160.0,92.0,244.0,26,남
1736.0,80.8,374.0,815.0,26.81093248954108,16.1,1835.0,표준,237.0,186.0,165.0,90.0,250.0,20,남
1850.0,80.3,390.0,845.0,23.462381300219135,17.0,1810.0,표준,238.0,192.0,158.0,94.0,267.0,28,남
1670.0,70.6,400.0,767.0,25.31464018071641,11.9,1714.0,표준,241.0,200.0,161.0,94.0,253.0,23,남
1729.0,69.8,373.0,802.0,23.348846824540104,17.0,1622.0,표준,237.0,190.0,155.0,93.0,245.0,26,남
1718.0,64.4,400.0,740.0,21.81923643514334,13.5,1574.0,표준,229.0,181.0,170.0,85.0,246.0,21,남
1835.0,86.1,393.0,851.0,25.57001685364061,12.1,2004.0,표준,247.0,207.0,162.0,102.0,262.0,25,남
1724.0,73.6,405.0,764.0,24.76300192182428,13.0,1754.0,표준,247.0,185.0,159.0,97.0,251.0,21,남
1645.0,58.6,364.0,715.0,21.655380123982596,9.9,1511.0,표준,227.0,195.0,156.0,85.0,235.0,25,남
1786.0,75.2,393.0,835.0,23.57517534036659,13.0,1784.0,표준,248.0,177.0,167.0,90.0,247.0,28,남
1764.0,85.5,410.0,978.0,27.476977185431995,23.5,1783.0,표준,236.0,187.0,155.0,98.0,268.0,60,남
1686.0,60.8,360.0,725.0,21.388899442622165,12.3,1522.0,표준,234.0,172.0,162.0,86.0,238.0,19,남
1765.0,69.8,387.0,769.0,22.406086237751683,14.4,1660.0,표준,258.0,190.0,154.0,92.0,241.0,22,남
1764.0,68.3,371.0,754.0,21.949444932924035,10.4,1692.0,표준,223.0,187.0,155.0,87.0,249.0,24,남
1751.0,80.7,410.0,866.0,26.320930749859503,18.5,1791.0,표준,242.0,195.0,158.0,89.0,251.0,20,남
1766.0,71.9,373.0,766.0,23.054063863925233,13.6,1712.0,표준,224.0,185.0,160.0,93.0,250.0,19,남
1730.0,81.0,395.0,855.0,27.064051588760066,18.5,1796.0,표준,238.0,182.0,170.0,97.0,245.0,23,남
1794.0,102.1,425.0,1022.0,31.723483083087558,25.2,2020.0,표준이하,250.0,186.0,181.0,96.0,273.0,21,남
1724.0,68.2,362.0,728.0,22.94615123734261,13.0,1651.0,표준,227.0,196.0,158.0,88.0,241.0,22,남
1757.0,78.5,385.0,821.0,25.428815674775485,22.2,1689.0,표준,224.0,193.0,164.0,99.0,247.0,26,남
1755.0,63.4,356.0,731.0,20.58424850447642,15.5,1527.0,표준,251.0,186.0,155.0,86.0,241.0,19,남
1699.0,62.1,340.0,685.0,21.513191466364766,13.4,1531.0,표준,234.0,183.0,165.0,86.0,237.0,18,남
1678.0,68.7,370.0,788.0,24.399044779172666,18.6,1578.0,표준,217.0,198.0,158.0,82.0,232.0,26,남
1804.0,65.6,360.0,775.0,20.157226365652086,12.1,1616.0,표준,239.0,178.0,168.0,85.0,244.0,23,남
1722.0,69.2,370.0,785.0,23.33671918102954,15.0,1641.0,표준,235.0,181.0,165.0,87.0,244.0,24,남
1777.0,80.0,392.0,871.0,25.33466298089544,15.3,1833.0,표준,241.0,188.0,177.0,99.0,263.0,22,남
1750.0,77.0,372.0,788.0,25.142857142857142,9.3,1879.0,표준,238.0,180.0,155.0,95.0,248.0,26,남
1773.0,73.2,372.0,775.0,23.285931193890686,12.8,1748.0,표준,232.0,190.0,155.0,88.0,259.0,25,남
1818.0,74.8,393.0,755.0,22.631526078900517,6.8,1876.0,표준,235.0,191.0,155.0,96.0,259.0,25,남
1778.0,94.9,415.0,955.0,30.019447793997628,21.0,1989.0,표준,232.0,189.0,163.0,92.0,255.0,28,남
1786.0,72.8,372.0,813.0,22.82277612737617,14.3,1718.0,표준,229.0,181.0,165.0,86.0,245.0,26,남
1770.0,74.1,372.0,786.0,23.652207220147464,12.8,1766.0,표준,234.0,182.0,161.0,92.0,249.0,27,남
1765.0,78.3,385.0,821.0,25.13462109478448,11.7,1863.0,표준,218.0,193.0,155.0,87.0,241.0,26,남
1560.0,50.1,,667.0,20.58678500986193,29.9,1129.0,표준,207.0,177.0,142.0,81.0,216.0,20,여
1544.0,46.1,,610.0,19.337767456844478,25.9,1108.0,표준,224.0,176.0,164.0,74.0,202.0,31,여
1600.0,56.4,,701.0,22.031249999999996,30.0,1223.0,표준,217.0,199.0,154.0,77.0,221.0,19,여
1656.0,57.8,,725.0,21.076921281710188,26.4,1289.0,표준,228.0,190.0,149.0,89.0,235.0,21,여
1661.0,76.0,,896.0,27.54700116458572,37.1,1403.0,표준이하,224.0,189.0,150.0,90.0,238.0,55,여
1669.0,54.9,,682.0,19.708776795769325,23.3,1279.0,표준,224.0,183.0,151.0,76.0,228.0,22,여
1621.0,52.0,,700.0,19.789613573543722,26.0,1201.0,표준,220.0,177.0,160.0,80.0,233.0,45,여
1657.0,51.7,,647.0,18.829792154787448,20.5,1257.0,표준,230.0,173.0,163.0,74.0,216.0,27,여
